,word
0,солдат
1,семьюстами
2,красивее
3,тремстам
4,шофёры
5,лягте
6,четырёмстам
7,апельсинов
8,их
9,ляг
10,ездят
11,взмок
12,жжёт
13,вишен
14,болеепоздно
15,блюдец
16,попробуем
17,поезжай
18,болеепоздно
19,разожжёт
20,красивая
21,звучно
22,сапог
23,чулок
24,млекопитающие
25,пятисот
26,двухстах
27,разожжёт
28,шестистах
29,смотря
30,разъезжайтесь
31,шестьюстами
32,заезжай
33,недра
34,обгрызенное
35,достигли
36,проронив
37,двести
38,пятисотый
39,восьмисот
40,высоко
41,восьмьюдесятью
42,испечёт
43,проповедует
44,окорока
45,обгрызенный
46,красиво
47,сапог
48,высох
49,обгрызенная
50,двести
51,полутораста
52,съездит
53,болеевысоко
54,трёмстам
55,выздоровеет
56,взмок
57,точно
58,озяб
59,испечёт
60,пятисот
61,дветысячи
62,полутора
63,поезжай
64,полисы
65,лопнувшие
66,восьмьюдесятью
67,тюлем
68,с плеч
69,обеим
70,сапог
71,джинсов
72,варежек
73,поезжай
74,проронив
75,поезжай
76,пятьюстами
77,макарон
78,болеешироко
79,проронив
80,млекопитающие
81,поезжай
82,погон
83,шампуня
84,поезжай
85,обгрызенное
86,инженеры
87,точно
88,побережий
89,кухонь
90,блюдец
91,запрещающий
92,зажжёшь
93,варежек
94,полутораста
95,рояля
96,наиболее
97,здоровее
98,поезжай
99,разожжёт
